,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,url
1905_19,0.0,0.007194828149153821,0.0,0.0,0.01806965358015497,0.0,0.0,0.0,0.0,0.012253966412344433,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/19.html
1905_20,0.0,0.0011934648245335137,0.06483789276250125,0.0,0.013811037371596259,0.0004018348262249563,0.003985451737164556,0.0017504143428216797,0.0005138792794404107,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/20.html
1905_21,0.0,0.012168879346356866,0.0,0.0,0.002451812381876773,0.03773293441697887,0.0,0.04016161608589535,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/21.html
1905_22,0.0,0.0,0.0,0.0,0.09972692137356651,0.0,0.0,0.0,0.0,0.01455701684006894,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/22.html
1905_23,0.01830265417946243,0.0,0.0,0.0,0.0,0.12760384769694258,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/23.html
1905_24,0.0,0.09101592548500198,0.0,0.0,0.013631702008556517,0.0,0.0,0.0,0.000401628777659214,0.0141734141701292,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/24.html
1905_25,0.0,0.0021203768274197844,0.0,0.012584616499219676,0.013051914452575182,0.05267628173914728,0.0,0.01845971994619387,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/25.html
1905_26,0.012555854562417586,0.0041238488742032925,0.0040970329270423175,0.0,0.04025317405441633,0.0,0.0033688645316338043,0.005027707945517951,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/26.html
1905_27,0.0,0.0018176534154849039,0.0,0.0,0.003951007394129289,0.0011629399359013948,0.0,0.00272984893049108,0.0009301740980914556,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/27.html
1905_28,0.0,0.0006276608190372456,0.0001725789318857506,0.01925870973562647,0.0074730982533356355,0.017628137931945558,0.0,0.014157729490293614,0.0010096438784350694,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/28.html
1905_29,0.001225928729288233,0.0,0.019870983450256886,6.810011234089013e-05,0.0054775037206842405,0.0,0.030761682726467343,0.034885481625436615,0.0,0.0007297181363828875,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/29.html
1905_30,0.0,0.07766878301000807,0.0,8.511670235700875e-05,0.0,0.0,0.0,0.0,0.0,0.032751067798114535,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/30.html
1905_31,0.0,0.059640020879471047,0.0,0.0,0.0062602712234082454,0.0,0.0,0.003213588124125162,0.01589695442680446,0.018807385249306544,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/31.html
1905_32,0.0,0.0,0.0,0.0005825804971524988,0.0,0.06288713322489435,0.007875769075586793,0.027585165986423556,0.01584149713009618,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/32.html
1905_33,0.0,0.024679736410986194,0.0,0.015456823603971737,0.014496431154882538,0.0,0.02510488745993936,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/33.html
1905_34,0.0,0.03290793188864948,0.0,0.0,0.0003629705912541603,0.0,0.0,0.08038368274641444,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/34.html
1905_35,0.0,0.00584024173272284,0.0,0.06500656127472934,0.016219012221386664,0.006449810866562905,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/35.html
1905_36,0.0,0.0071619487380968115,0.0,0.0,0.01980923810203428,0.0,0.0,0.0,0.0,0.004228821965951183,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/36.html
1905_37,0.0,0.0,0.0,0.07895187440894265,0.0043518150393867345,0.0,0.0,0.0037388506128384277,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/37.html
1905_38,0.0024902097112147015,0.0,0.0003056069893395154,0.03696287264935291,0.0,0.0019065650566252028,0.03102716478620152,0.013420953173205867,0.00731102819927672,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/38.html
1905_39,0.0,0.0,0.0,0.0033634122782641796,0.00807922806000939,0.0,0.00015869541323335992,0.003240012691970482,0.0,0.0021994477697616713,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/39.html
1905_40,0.0,0.0,0.0,0.004486415657672371,0.004349677243850133,0.04122484764867041,0.004328883049460418,0.013059490053961146,0.007767810445585656,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/40.html
1905_41,0.0,0.06011763371187436,0.0,0.0,0.0016017077739620019,0.0,0.009315744759080423,0.014652774097831155,0.0048215111945705885,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/41.html
1905_42,0.0,0.003528758527853008,0.0,0.00913429046627986,0.0014417895063907086,0.016647677075392095,0.0,0.066348043226669,0.02437135693747211,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/42.html
1905_43,0.0,0.0,0.009352569661007119,0.00167025118823344,0.022709588863051636,0.0,0.10182663846313203,0.020834927877445474,0.0005642950798549586,0.000176011347792178,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/43.html
1905_44,0.0,0.0,0.0,0.0,0.007070314739155968,0.05174612959484308,0.006293578976708735,0.025883731902667382,0.0032298015016067098,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/44.html
1905_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357214826570963,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/45.html
1905_46,0.004441117308231819,0.00016757155050444003,0.07799163170774673,0.0,0.010511823625532336,0.0,0.00998897851485363,0.00011987173079535346,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/46.html
1905_47,0.0,0.0,0.0,0.0033499809777924705,0.002546532368335626,0.0,0.02164420728354862,0.02533736244133317,0.06581360530786495,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/47.html
1905_48,0.003124711585774837,0.0,0.0,0.0070362909525869596,0.0009228150047052749,0.11652887278328004,0.0,0.0020193092467491814,0.0,0.00020946348341166832,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/48.html
1905_49,0.0,0.006660348800376106,0.004216515347017707,0.0,0.0026253678816390525,0.0,0.03785738373259854,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/49.html
1905_50,0.0,0.09570053667850652,0.0011907189667751232,0.0,0.012598340924474287,0.0,0.0,0.000674529710573418,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/50.html
1905_51,0.0,0.0,0.0,0.00046293301780680454,0.030741932161292597,0.0,0.05965146295499793,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/51.html
1905_52,0.0,0.0026777800314285783,0.0,0.0,0.009528836094560967,0.0009010043865935017,0.0,0.07203342945955969,0.01885708417625045,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/52.html
1905_53,0.0,0.0068090883149045005,0.0012999669071587163,0.0,0.045678552973271114,0.04282123519581489,0.0,0.0,0.0,0.008404600691600813,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/53.html
1905_54,0.0,0.0014831348946263102,0.0,0.0487874318506503,0.004287343143333748,0.0026128373775126086,0.0007676880358211365,0.0068919638996286295,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/54.html
1905_55,0.0,0.0,0.0,0.0037406657827033394,0.007519457111103532,0.008113383126556685,0.012771221964510958,0.04023281897399138,0.03509424457559926,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/55.html
1905_56,0.0,0.0,0.0,0.10182540188209607,0.009977924429729784,0.015326398810191346,0.0,0.0,0.00089944326593795,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/56.html
1905_57,0.0,0.0,0.0,0.06913511655252373,0.0,0.00012412715849929634,0.0,0.025960802500890504,0.03655044271601251,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/57.html
1905_58,0.0,0.0,0.0,0.0,0.0,0.11817552310656258,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/58.html
1905_59,0.0,0.00035159663520756116,0.0008782355434792902,0.08185738985399306,0.012452080206740181,0.0,0.0,0.026073376760381906,0.0,0.000960471635409588,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/59.html
1905_60,0.0,0.003529626457305817,0.0001707963845992239,0.033664844249696006,0.007025234746462231,0.0,0.01684688250303937,0.0020407374842976297,0.0009197250058974185,0.0009383838073547942,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/60.html
1905_61,0.11742952707712041,0.002766857924033324,0.0,0.01700413820521768,0.015266140470751078,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/61.html
1905_62,0.0,0.0,0.13423942676836723,0.0,0.009883463631058857,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/62.html
1905_64,0.0,0.007119778785881419,0.0,0.002946497972625041,0.08110951520539655,0.00933599181239988,0.0,0.0,0.0,0.0012769239985744134,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/64.html
1905_65,0.0,0.0,0.0,0.00047781497655846367,0.01907493883359435,0.014942397050367004,0.0,0.013623812753630568,0.00017021497373494973,0.005138316612933357,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/65.html
1905_66,0.0,0.004232077814954914,0.0,0.0016596647721670325,0.00028052855883837173,0.016076571676402994,0.0,0.027053036561318685,0.0,0.01909663004187104,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/66.html
1905_67,0.0011407694286260717,0.0,0.0009115876320979162,0.0,0.02662320823116453,0.0,0.013070831272263774,0.003116859485219085,0.0,0.0004496280739638642,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/67.html
1905_68,0.0,0.0007751016208081395,0.0013623780299191904,0.0,0.03460829916360332,0.0,0.0,0.0,0.0,0.008104731563143753,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/68.html
1905_69,0.0,0.0,0.0,0.0,0.001996044285966711,0.0,0.0,0.000638056702363606,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/69.html
1905_70,0.0,0.005934016093381205,0.0,0.0,0.016305215357786035,0.0,0.0,0.0,0.0,0.01948284245512742,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/70.html
1905_71,0.0,0.0,0.0,0.0,2.86692188088619e-06,0.0,0.0,0.0001043345767127821,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/71.html
1906_1,0.0,0.003329664540178159,0.0,0.0,0.008394027208125793,0.0071710952754713096,0.0,0.0080598214323252,0.08006863846156378,0.00035862460209319837,http://classic.austlii.edu.au/au/cases/cth/HCA/1906/1.html
