,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,url
1938_1,0.0,0.0,0.12219685351388865,0.0,0.008660775042068001,0.0,0.0,0.024090683576590173,0.0,0.0,0.0,0.0,0.0,0.001355182914999665,0.0,0.006796387929411396,0.0,0.0,0.00013992368950079416,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/1.html
1938_2,0.0,0.07154209726769921,0.0,0.0,0.004195486769803975,0.0,0.0,0.005692425395823164,0.0007650278954511903,0.015616247892217357,0.0,0.00233011744461501,0.0,0.005249697776559506,0.0,0.01491454103654038,0.0,0.0,0.0,0.0016100592879307735,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/2.html
1938_3,0.0,0.0,0.0,0.0,0.05014113237250941,0.0,0.0037783580118842036,0.0,0.0010960083835688174,0.0,0.0,0.017597601204209546,0.0,0.001262521515850215,0.0,0.003161896425898755,0.0,0.0,0.08699848370070651,0.025283475690441152,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/3.html
1938_4,0.0,3.954516182939682e-05,0.0,0.0,0.008735308362654303,0.00544133465365069,0.0,0.0,0.09309609276177273,0.0,0.0,0.0,0.0,0.003692024153329244,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/4.html
1938_5,0.024169700651962302,0.0,9.73227142673117e-05,0.00399087671160067,0.00025119888847288457,0.0,0.0,0.0,0.09336374720930127,0.0,0.0,0.0,0.0,0.0,0.07219708756829349,0.0,0.002192169041744484,0.0,0.015926003770817855,0.006702601902107886,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/5.html
1938_6,0.0,0.0,0.0,0.07015313532769621,0.0,0.057002581811975525,0.0,0.0,0.0,0.0,0.0,0.0237395722403173,0.0,0.0,0.015434503369146115,0.0,0.013463903552553514,0.0,0.0,0.005334960965506689,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/6.html
1938_7,0.0,0.0005150183412614807,0.008652963438499542,0.0,0.05557454110583694,0.0,0.0007260366910252363,0.004078942602431606,0.0,0.03354036707632057,0.024897404716144707,0.007303020134857591,0.0,0.019796462614700458,0.0,0.0,0.0029048195921739604,0.0,0.0,0.0013019617632200056,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/7.html
1938_8,0.0,0.0024748087879425842,0.0,0.0,0.0017596035596998709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019735492627854004,0.0,0.00028490912099664724,0.00400031953927326,0.07112066425933239,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/8.html
1938_9,0.0,0.0,0.0,0.0,0.011690650289447302,0.0,0.0,0.0,0.0,0.0,0.012191753929477345,0.0,0.0,0.07588205533375786,0.0,0.0,0.028420290124532534,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/9.html
1938_10,0.0,0.03265250200655991,0.0,0.0,0.07836114383613783,0.0,0.0,0.0,0.0,0.03977423148948085,0.0,0.09266014853394743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/10.html
1938_11,0.0018344510023505373,0.010184335750447497,0.0,0.0001718284473672724,0.0,0.0,0.0012199989056689941,0.008517530150513892,0.030693341260984577,0.0,0.0,0.0,0.0,0.002169658320723739,0.0,0.05408997027793841,0.0,7.641998913991462e-05,0.0,0.04892387713872217,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/11.html
1938_12,0.0,0.12377709515987326,0.0,0.00022838734696350503,0.0,0.0,0.0006610906515993017,0.0,0.0,0.022045416856179285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/12.html
1938_13,0.0024298683058704518,0.0,0.0,0.006830950684644995,0.0,0.0,0.0,0.0,0.006529622566446886,0.0,0.0,0.0,0.0,0.0015626767047057712,0.0,0.0,0.01796691465365584,0.0,0.05191774444680408,0.049951422966966814,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/13.html
1938_14,0.0,0.0,0.0,0.002865794292624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08750025838059623,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/14.html
1938_15,0.0,0.004180415555369806,0.0,0.001095530717143952,0.002715415642043619,0.0,0.10018470206071768,0.0,0.0,0.0,0.002781465633125693,0.0,0.0,0.012536185238391832,0.0,0.006603116603006275,0.0,0.0,0.002463274183443383,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/15.html
1938_16,0.0,0.0012679456520236045,0.004738096449077515,0.0008276246661027432,0.0,0.0,7.816725645776922e-05,0.0,0.0530480188497004,0.0,0.0,0.0018340582997341765,0.0,0.011716747485054184,0.0,4.358625761117878e-06,0.0,0.0,0.0,0.016750525572072836,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/16.html
1938_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.544205771400828e-05,0.0,0.00014298426566223643,0.0,0.04832334441914457,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/17.html
1938_18,0.05016208726813274,0.0,0.0,0.0,0.000965099362399346,0.0,0.0,0.0,0.10123424739260949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03251003764289644,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/18.html
1938_19,0.0,0.0,0.02025658548684886,0.0,0.0,0.0,0.03333889026074077,0.10461613866921558,0.0,0.0,0.0,0.0,0.0,0.006871272793994555,0.0,0.0,0.0,0.0,0.0,0.024499482492419077,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/19.html
1938_20,0.0,0.0,0.021162352322412415,0.0003163088809564955,0.0010694201595300233,0.000294483795765362,0.0,0.03560367290395533,0.0,0.0011110471994454057,0.0,0.0,0.0,0.002610866079406635,0.0,0.0,0.0,0.0,0.0,0.047844737195196996,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/20.html
1938_21,0.03023998287145234,0.0,0.0,0.0,0.00045172867275470837,0.0,0.0,0.0,0.04474413415497752,0.0,0.0,0.0,0.0,0.0,0.0,0.015309888777084899,0.0,0.0,0.003016186346366802,0.02192783930460513,http://classic.austlii.edu.au/au/cases/cth/HCA/1938/21.html
